Title,Cited by,Year,Authors,Venue,Scholar ID
Ties-merging: Resolving interference when merging models,1169,2023,"P Yadav, D Tam, L Choshen, CA Raffel, M Bansal","Advances in neural information processing systems 36, 7093-7115, 2023",8b8IhUYAAAAJ:_Qo2XoVZTnwC
Findings of the BabyLM challenge: Sample-efficient pretraining on developmentally plausible corpora,400,2023,"A Warstadt, A Mueller, L Choshen, E Wilcox, C Zhuang, J Ciro, ...","Proceedings of the babylm challenge at the 27th conference on computational …, 2023",8b8IhUYAAAAJ:RHpTSmoSYBkC
Active learning for BERT: an empirical study,326,2020,"LE Dor, A Halfon, A Gera, E Shnarch, L Dankin, L Choshen, M Danilevsky, ...","Proceedings of the 2020 conference on empirical methods in natural language …, 2020",8b8IhUYAAAAJ:UebtZRa9Y70C
An autonomous debating system,325,2021,"N Slonim, Y Bilu, C Alzate, R Bar-Haim, B Bogin, F Bonin, L Choshen, ...","Nature 591 (7850), 379-384, 2021",8b8IhUYAAAAJ:8k81kl-MbHgC
Q2: Evaluating factual consistency in knowledge-grounded dialogues via question generation and question answering,272,2021,"O Honovich, L Choshen, R Aharoni, E Neeman, I Szpektor, O Abend","Proceedings of the 2021 Conference on Empirical Methods in Natural Language …, 2021",8b8IhUYAAAAJ:KlAtU1dfN6UC
Global mmlu: Understanding and addressing cultural and linguistic biases in multilingual evaluation,263,2025,"S Singh, A Romanou, C Fourrier, DI Adelani, JG Ngui, D Vila-Suero, ...","Proceedings of the 63rd Annual Meeting of the Association for Computational …, 2025",8b8IhUYAAAAJ:a0OBvERweLwC
tinyBenchmarks: evaluating LLMs with fewer examples,175,2024,"FM Polo, L Weber, L Choshen, Y Sun, G Xu, M Yurochkin","arXiv preprint arXiv:2402.14992, 2024",8b8IhUYAAAAJ:fPk4N6BV_jEC
Fusing finetuned models for better pretraining,123,2022,"L Choshen, E Venezian, N Slonim, Y Katz","arXiv preprint arXiv:2204.03044, 2022",8b8IhUYAAAAJ:4DMP91E08xMC
Disentqa: Disentangling parametric and contextual knowledge with counterfactual question answering,121,2023,"E Neeman, R Aharoni, O Honovich, L Choshen, I Szpektor, O Abend","Proceedings of the 61st Annual Meeting of the Association for Computational …, 2023",8b8IhUYAAAAJ:ZeXyd9-uunAC
Asymmetry in low-rank adapters of foundation models,119,2024,"J Zhu, K Greenewald, K Nadjahi, HSDO Borde, RB Gabrielsson, ...","arXiv preprint arXiv:2402.16842, 2024",8b8IhUYAAAAJ:hMod-77fHWUC
Findings of the second BabyLM challenge: Sample-efficient pretraining on developmentally plausible corpora,118,2024,"MY Hu, A Mueller, C Ross, A Williams, T Linzen, C Zhuang, R Cotterell, ...","The 2nd BabyLM Challenge at the 28th Conference on Computational Natural …, 2024",8b8IhUYAAAAJ:D03iK_w7-QYC
On the weaknesses of reinforcement learning for neural machine translation,117,2019,"L Choshen, L Fox, Z Aizenbud, O Abend","arXiv preprint arXiv:1907.01752, 2019",8b8IhUYAAAAJ:eQOLeE2rZwMC
Model merging with svd to tie the knots,116,2025,"G Stoica, P Ramesh, B Ecsedi, L Choshen, J Hoffman","International Conference on Learning Representations 2025, 4501-4519, 2025",8b8IhUYAAAAJ:dfsIfKJdRG4C
Are you convinced? choosing the more convincing evidence with a Siamese network,115,2019,"M Gleize, E Shnarch, L Choshen, L Dankin, G Moshkowich, R Aharonov, ...","Proceedings of the 57th Annual Meeting of the Association for Computational …, 2019",8b8IhUYAAAAJ:WF5omc3nYNoC
Jump to Conclusions: Short-Cutting Transformers With Linear Transformations,100,2023,"A Yom Din, T Karidi, L Choshen, M Geva","arXiv e-prints, arXiv: 2303.09435, 2023",8b8IhUYAAAAJ:mB3voiENLucC
Efficient benchmarking (of language models),99,2024,"Y Perlitz, E Bandel, A Gera, O Arviv, LE Dor, E Shnarch, N Slonim, ...","Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",8b8IhUYAAAAJ:e5wmG9Sq2KIC
Will it blend? blending weak and strong labeled data in a neural network for argumentation mining,97,2018,"E Shnarch, C Alzate, L Dankin, M Gleize, Y Hou, L Choshen, R Aharonov, ...","Proceedings of the 56th Annual Meeting of the Association for Computational …, 2018",8b8IhUYAAAAJ:zYLM7Y9cAGgC
Beyond binary rewards: Training lms to reason about their uncertainty,95,2026,"M Damani, I Puri, S Slocum, I Shenfeld, L Choshen, Y Kim, J Andreas","International conference on learning representations 2026, 59456-59493, 2026",8b8IhUYAAAAJ:p2g8aNsByqUC
Efficient multi-prompt evaluation of LLMs,95,2024,"FM Polo, R Xu, L Weber, M Silva, O Bhardwaj, L Choshen, AF de Oliveira, ...","Advances in Neural Information Processing Systems 37, 22483-22512, 2024",8b8IhUYAAAAJ:_xSYboBqXhAC
Corpus wide argument mining—a working solution,95,2020,"L Ein-Dor, E Shnarch, L Dankin, A Halfon, B Sznajder, A Gera, C Alzate, ...","Proceedings of the AAAI Conference on Artificial Intelligence 34 (05), 7683-7691, 2020",8b8IhUYAAAAJ:_FxGoFyzp5QC
Dora the explorer: Directed outreaching reinforcement action-selection,87,2018,"L Choshen, L Fox, Y Loewenstein","arXiv preprint arXiv:1804.04012, 2018",8b8IhUYAAAAJ:IjCSPb-OGe4C
Knowledge is a region in weight space for fine-tuned language models,80,2023,"A Gueta, E Venezian, C Raffel, N Slonim, Y Katz, L Choshen","Findings of the Association for Computational Linguistics: EMNLP 2023, 1350-1370, 2023",8b8IhUYAAAAJ:-f6ydRqryjwC
Cold fusion: Collaborative descent for distributed multitask finetuning,79,2023,"S Don-Yehiya, E Venezian, C Raffel, N Slonim, L Choshen","Proceedings of the 61st Annual Meeting of the Association for Computational …, 2023",8b8IhUYAAAAJ:IWHjjKOFINEC
Let’s agree to agree: Neural networks share classification order on real datasets,78,2020,"G Hacohen, L Choshen, D Weinshall","International Conference on Machine Learning, 3950-3960, 2020",8b8IhUYAAAAJ:t7zJ5fGR-2UC
A survey on model moerging: Recycling and routing among specialized experts for collaborative learning,76,2024,"P Yadav, C Raffel, M Muqeeth, L Caccia, H Liu, T Chen, M Bansal, ...","arXiv preprint arXiv:2408.07057, 2024",8b8IhUYAAAAJ:pqnbT2bcN3wC
The grammar-learning trajectories of neural language models,66,2022,"L Choshen, G Hacohen, D Weinshall, O Abend","Proceedings of the 60th Annual Meeting of the Association for Computational …, 2022",8b8IhUYAAAAJ:4TOpqqG69KYC
Findings of the third BabyLM challenge: Accelerating language modeling research with cognitively plausible data,57,2025,"LGG Charpentier, L Choshen, R Cotterell, MO Gul, MY Hu, J Liu, ...","Proceedings of the First BabyLM Workshop, 399-420, 2025",8b8IhUYAAAAJ:tOudhMTPpwUC
