Time of publish ID,"Warning, incomplete?",Venue,Name,Bib,Authors,year,NLP,Small Models,Debating,Recycling,Scaling Laws,Human-Model Interaction,Efficient Pretraining Research,Resources,The Science of Deep Learning,Methods,Dataset,Training,Evaluation,Shared-task\effort,Language&Cognition,Open,Meta-science,Enabling Low Budget Research,Efficiency,Paper,Workshop-paper,"Review, Survey and Position",Other,inter\eval,open,Allowing,Efficient Evaluation
1,,ICLR 2018* ,DORA The Explorer: Directed Outreaching Reinforcement Action,DBLP:conf/iclr/FoxCL18,"Leshem Choshen, Lior Fox, Yonatan Loewenstein",2018,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,
3,,coling,Reinforcement learning with large action spaces for neural machine translation,yehudai2022reinforcement,"A Yehudai, L Choshen, L Fox, O Abend",2022,,,,,,,,,,,,,,,,,,,,1,,,,,,,
4,,"arXiv preprint arXiv:2602.20092, 2026",BabyLM Turns 4 and Goes Multilingual: Call for Papers for the 2026 BabyLM Workshop,choshen2026babylm,"L Choshen, R Cotterell, MO Gul, J Jumelet, T Linzen, A Mueller, S Salhan, ...",2026,,,,,,,,,,,,,,,,,,,,1,,,,,,,
5,,"Blog Post, EvalEval Coalition, 2026",Every eval ever: Toward a common language for ai eval reporting,,"J Batzner, L Choshen, A Ghosh, SH Nelaturu, A Kornilova, D Stachura, ...",2026,,,,,,,,,,,,,,,,,,,,1,,,,,,,
6,,"US Patent 12,093,645, 2024",Inter-training of pre-trained transformer-based language models using partitioning and classification,,"E Shnarch, G Ariel, A Halfon, L Dankin, L CHOSHEN, R Aharonov, ...",2024,,,,,,,,,,,,,,,,,,,,1,,,,,,,
7,,"Proceedings of the 26th Conference on Computational Natural Language …, 2022",On neurons invariant to sentence structural changes in neural machine translation,patel2022neurons,"G Patel, L Choshen, O Abend",2022,,,,,,,,,,,,,,,,,,,,1,,,,,,,
8,,"Proceedings of the 60th Annual Meeting of the Association for Computational …, 2022",True or false? faithful summarization with attribution,,"O Honovich, T Scialom, L Choshen, E Shnarch, O Abend",2022,,,,,,,,,,,,,,,,,,,,1,,,,,,,
9,,,LLM Hypnosis: Characterizing the Fragility of RLHF Against Unprivileged Knowledge Injection,,"A Hilel, R Bhagwat, L Choshen, I Shenfeld, J Andreas",,,,,,,,,,,,,,,,,,,,,1,,,,,,,
10,,"arXiv preprint arXiv:2605.29512, 2026",MINDGAMES: A Live Arena for Evaluating Social and Strategic Reasoning in Multi-Agent LLMs,wang2026mindgames,"K Wang, A Thöni, B Kempinski, B Cheng, J Yao, B Finch, L Guertler, ...",2026,,,,,,,,,,,,,,,,,,,,1,,,,,,,
11,,"US Patent App. 18/454,124, 2025",Automated training on massive multitask,,"L CHOSHEN, E Venezian, SB Don-Yehiya",2025,,,,,,,,,,,,,,,,,,,,1,,,,,,,
12,,"US Patent App. 18/350,269, 2025",Base model selection for finetuning,,"L CHOSHEN, E Venezian, SB Don-Yehiya, YA Katz, N Slonim",2025,,,,,,,,,,,,,,,,,,,,1,,,,,,,
13,,"Proceedings of the 27th Conference on Computational Natural Language …, 2023",MuLER: Detailed and Scalable Reference-based Evaluation,karidi2023muler,"T Karidi, L Choshen, G Patel, O Abend",2023,,,,,,,,,,,,,,,,,,,,1,,,,,,,
14,,"NeurIPS 2025 Workshop on Evaluating the Evolving LLM Lifecycle: Benchmarks …, 0",A Statistical Framework for Game-Based AI Evaluation,,"FM Polo, L Choshen, Y Sun, K Greenewald",,,,,,,,,,,,,,,,,,,,,1,,,,,,,
15,,acl,Stop Guessing When to Stop Testing: Efficient Model Evaluation with Just Enough Data,arviv2026stop,"O Arviv, K Greenewald, Y Perlitz, H Mulian, M Shmueli-Scheuer, ...",2026,,,,,,,,,,,,,,,,,,,,1,,,,,,,
16,,"arXiv preprint arXiv:2606.24579, 2026",Cross-Lingual Exploration for Parametric Knowledge,diskind2026cross,"E Diskind, I Trainin, U Shaham, L Choshen, I Szpektor, O Abend",2026,,,,,,,,,,,,,,,,,,,,1,,,,,,,
17,,"EvalEval Coalition Blog, April, 2026",AI evals are becoming the new compute bottleneck,,"A Ghosh, Y Mai, G Channing, L Choshen",2026,,,,,,,,,,,,,,,,,,,,1,,,,,,,
18,,"arXiv preprint arXiv:2607.18235, 2026",Automated Discovery Has No Universally Superior Harness,gupta2026automated,"A Gupta, J Lei, A Lu, G Anumanchipalli, L Choshen",2026,,,,,,,,,,,,,,,,,,,,1,,,,,,,
19,,"Proceedings of the Workshop on Evaluating Evaluations (EvalEval), 2026",Proceedings of the Workshop on Evaluating Evaluations (EvalEval),,"M Akhtar, J Batzner, L Choshen, A Ghosh, U Gohar, J Mickel, I Pant, ...",2026,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,NAACL-HLT 2018*,Reference-less Measure of Faithfulness for Grammatical Error Correction,DBLP:conf/naacl/ChoshenA18,"Leshem Choshen, Omri Abend",2018,1,,,,,,,1,,1,,,1,,1,,,,,1,,,,,,,
,,ACL 2018 ,Will it Blend? Weak and Manual Labeled Data in a Neural Network for Argumentation Mining,DBLP:conf/acl/ShnarchPDGHCAS18,"Eyal Shnarch, Carlos Alzate, Lena Dankin, Martin Gleize, Yufang Hou, Leshem Choshen, Ranit Aharonov and Noam Slonim ",2018,1,,1,,,,,,,1,,1,,,1,,,,1,1,,,,,,,
,,ACL 2018* ​​,Automatic Metric Validation for Grammatical Error Correction,DBLP:conf/acl/AbendC18a,"Leshem Choshen, Omri Abend",2018,1,,,,,,,1,1,1,,,1,,1,,1,1,1,1,,,,,,,
,,ACL 2018* ,​​ Inherent Biases in Reference-based Evaluation for Grammatical Error Correction and Text Simplification,DBLP:conf/acl/AbendC18,"Leshem Choshen, Omri Abend",2018,1,,,,,,,,1,,,,1,,1,,1,,,1,,,,,,,
,,SemEval@EMNLP 2019 ,SemEval 2019 Task 1: Cross-lingual Semantic Parsing with UCCA,DBLP:conf/semeval/HershcovichACSR19,"Daniel Hershcovich, Zohar Aizenbud, Leshem Choshen, Elior Sulem, Ari Rappoport, Omri Abend",2019,1,,,,,,,1,,,1,,1,1,1,1,1,1,,1,1,,,,,,
,,ACL 2019 ,Are You Convinced? Choosing the More Convincing Evidence with a Siamese Network,DBLP:conf/acl/GleizeSCDMAS19,"Martin Gleize, Eyal Shnarch, Leshem Choshen, Lena Dankin, Guy Moshkowich, Ranit Aharonov, Noam Slonim",2019,1,,1,,,,,,,1,,1,,,1,,,,,1,,,,,,,
,,ACL 2019* ,The Language of Legal and Illegal Activity on the Darknet,DBLP:conf/acl/ChoshenEHSA19,"Leshem Choshen, Dan Eldad, Daniel Hershcovich, Elior Sulem, Omri Abend",2019,1,,,,,,,,1,,,,,1,1,,1,,,1,,,,,,,
,,BEA@ACL 2019* ,Learning to combine Grammatical Error Corrections,DBLP:conf/bea/KantorKCCLTMS19,"Yoav Kantor, Yoav Katz, Leshem Choshen, Edo Cohen-Karlik, Naftali Liberman, Assaf Toledo, Amir Menczel, Noam Slonim",2019,1,,1,,,,,1,,1,,1,,1,1,,1,1,1,1,1,,,,,,
,,CoNLL 2019* ,Automatically Extracting Challenge Sets for Non-local Phenomena in Neural Machine Translation,DBLP:conf/conll/ChoshenA19,"Leshem Choshen, Omri Abend",2019,1,,,,,,,1,1,1,1,,1,,1,,1,1,1,1,,,,,,,
,,AAAI 2020 ,Corpus wide argument mining- a working solution,DBLP:conf/aaai/Ein-DorSDHSGAGC20,"Liat Ein-Dor, Eyal Shnarch, Lena Dankin, Alon Halfon, Benjamin Sznajder, Ariel Gera, Carlos Alzate, Martin Gleize, Leshem Choshen, Yufang Hou, Yonatan Bilu, Ranit Aharonov, Noam Slonim",2020,1,,1,,,,,1,,1,1,1,1,,1,,,,,1,,,,,,,
,,ICLR 2020* ,On the Weaknesses of Reinforcement Learning for Neural Machine Translation,DBLP:conf/iclr/ChoshenFAA20,"Leshem Choshen, Lior Fox, Zohar Aizenbud, Omri Abend ",2020,1,,,,,,,,1,,,1,1,,1,,1,,,1,,,,,,,
,,ICML 2020 ,Let's Agree to Agree: Neural Networks Share Classification Order on Real Datasets,DBLP:conf/icml/HacohenCW20,"Guy Hacohen, Leshem Choshen, Dafna Weinshall",2020,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,
,,EMNLP 2020 ,Active Learning for BERT: An Empirical Study,DBLP:conf/emnlp/Ein-DorHGSDCDAK20,"Liat Ein-Dor, Alon Halfon, Ariel Gera, Eyal Shnarch, Lena Dankin, Leshem Choshen, Marina Danilevsky, Ranit Aharonov, Yoav Katz and Noam Slonim",2020,1,,,,,,,1,,,,1,1,,,,1,,1,1,,,,,,,
